id,name,monthly_listens,hometown_id,age,net_worth,most_popular_song,interest_id
1,Taylor Swift,42961049,Reading,31,"400,000,000",Shake It Off,Playing guitar
2,HAIM,5493993,Los Angeles,35,"5,000,000",The Wire,Playing guitar
3,Amy Winehouse,11016435,London,27,"5,000,000",Back to Black,Playing guitar
4,Florence + the Machine,10407322,London,34,"28,000,000",Dog Days are Over,Reading
5,Chase Atlantic,6279620,Cairns,24,"7,300,000",Friends,Skating
6,Rico Nasty,4438180,Largo,24,"1,000,000",Smack a Bitch,Video games
7,Kimbra,421585,Hamilton,31,"3,000,000",Settle Down,Tennis
8,Clairo,11280202,Atlanta,22,"250,000",Sofia,Reading
9,Weyes Blood,1231624,Doylestown,32,"3,000,000",Andromeda,Surfing
10,Ariana Grande,63177247,Los Angeles,27,"180,000,000",7 Rings,Singing
11,Remi Wolf,3860117,Palo Alto,25,"3,000,000",Photo ID,Skating
12,Lana Del Rey,20133056,New York,35,"30,000,000",Young and Beautiful,Video games
13,Phoebe Bridgers,4837482,Los Angeles,26,"3,000,000",Motion Sickness,Board games 
15,Shygirl,938922,London,28,"3,000,000",Uckers,Skating
16,Harmonious Hoos,112,Charlottesville,10,"5,000,000",Location,Singing
17,Miley Cyrus,41867605,Nashville,28,"160,000,000",Party In The U.S.A.,Frisbee golf
18,Lucius,727248,Brooklyn,29,"3,000,000",Two of Us On the Run,Tennis
19,Mac DeMarco,6321507,Alberta,31,"3,000,000",Chamber of Reflection,Playing guitar
20,PSY,2479754,Seoul,43,"60,000,000",Gangnam Style,Eating
21,Bazzi,15561816,Canton,23,"4,000,000",Mine,Eating
22,Giveon,48249265,Long Beach,26,"800,000",Heartbreak Anniversary,Singing
23,Kanye West,35943357,Atlanta,43,"1,800,000,000",Stronger,Eating
24,Hippo Campus,2744585,Saint Paul,27,"21,000,000",Buttercup,Skating
25,Daniel Caesar,43465861,Toronto,26,"4,000,000",Best Part,Eating
26,Justin Bieber,73581929,Stratford,27,"285,000,000",Love Yourself,Eating
27,Lauv,22041520,San Francisco,26,"1,500,000",I Like Me Better,Sleeping
28,Lennon Stella,9947850,Stratford,21,"3,000,000",Takeaway,Singing
29,Blink 182,12663774,Poway,49,"200,000,000",All the Small Things,Eating
30,Paramore,13089479,Franklin,32,"40,000,000",Misery Business,Eating
31,Coldplay,45445380,London,44,"475,000,000",Something Just Like This,Frisbee golf
32,Avril Lavigne ,14946759,Greater Napanee,36,"60,000,000",Complicated,Skating
33,Grimes,3940576,Vancouver,33,"3,000,000",Oblivion,Video games
