id,song,artist_name,album,genre,release_year
1,Shake It Off,Taylor Swift,1989,Pop,2014
2,The Wire,HAIM ,Days Are Gone,Rock,2013
3,Back to Black,Amy Winehouse,Back to Black,R&B/Soul,2006
4,Dog Days are Over,Florence and the Machine,Lungs,Alternative,2009
5,Friends,Chase Atlantic,Nostalgia,Rock,2015
6,Smack a Bitch,Rico Nasty,Nightmare Vacation,Rap,2020
7,Settle Down,Kimbra,Vows,Alternative,2011
8,Sofia,Clairo,Immunity,Alternative,2019
9,Andromeda,Weyes Blood,Titanic Rising,Alternative,2019
10,7 Rings,Ariana Grande,"thank u, next",Pop,2019
11,Photo ID,Remi Wolf,We Love Dogs!,Pop,2021
12,Young and Beautiful,Lana Del Rey,The Great Gatsby OST,Pop,2013
13,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,Alternative,2017
15,Uckers,Shygirl,UCKERS,Electronic,2019
16,Location,Harmonious Hoos,Victims of Saturation,A Cappella,2019
17,Party In The U.S.A.,Miley Cyrus,Time of Our Lives,Pop,2009
18,Two of Us On the Run,Lucius,Wildewoman,Alternative,2013
19,Chamber of Reflection,Mac DeMarco,Salad Days ,Alternative,2014
20,Gangnam Style,PSY,The Singles,KPop,2013
21,Mine,Bazzi,Cosmic,Pop,2018
22,Heartbreak Anniversary,Giveon,Take TIme,R&B/Soul,2020
23,Stronger,Kanye West,Graduation,Rap,2007
24,Buttercup,Hippo Campus,Landmark,Alternative,2017
25,Best Part,Daniel Caesar,Freudian,R&B/Soul,2017
26,Love Yourself,Justin Bieber,Love Yourself,Pop,2015
27,I Like Me Better,Lauv,Lauv EP,Pop,2017
28,Takeaway,Lennon Stella,World War Joy,Electronic,2019
29,All the Small Things,Blink 182,Enema of The State,Rock,2000
30,Misery Business,Paramore,Riot!,Emo,2007
31,Something Just Like This,Coldplay,Memories... Do Not Open,Electronic,2017
32,Complicated,Avril Lavigne ,Let Go,Rock,2002
33,Oblivion,Grimes,Visions,Alternative,2012
